ID,BID,ASK,DATE
CHFJPY,113.012,113.036,20140814204139,
ZARJPY,9.678,9.697,20140814204139,
CNHJPY,16.633,16.663,20140814204139,
EURUSD,1.33769,1.33777,20140814204139,
GBPUSD,1.66815,1.6684,20140814204139,
AUDUSD,0.93158,0.93176,20140814204139,
NZDUSD,0.84963,0.84993,20140814204139,
HKDJPY,13.198,13.228,20140814204139,
EURGBP,0.80178,0.80196,20140814204139,
EURAUD,1.43574,1.43597,20140814204139,
USDCHF,0.90604,0.90622,20140814204139,
EURCHF,1.21207,1.21225,20140814204139,
GBPCHF,1.51151,1.51181,20140814204139,
AUDCHF,0.84407,0.84437,20140814204139,
CADCHF,0.83141,0.83201,20140814204139,
USDHKD,7.75099,7.75129,20140814204139,
GBPJPY,170.847,170.865,20140814204139,
NZDJPY,87.036,87.054,20140814204139,
CADJPY,93.992,94.016,20140814204139,
USDJPY,102.411,102.415,20140814204212,
EURJPY,137.011,137.021,20140814204212,
AUDJPY,95.412,95.421,20140814204212,
GBPJPY,170.844,170.862,20140814204212,
NZDJPY,87.042,87.06,20140814204212,
CADJPY,93.991,94.015,20140814204212,
CHFJPY,113.02,113.044,20140814204212,
ZARJPY,9.679,9.698,20140814204212,
CNHJPY,16.633,16.663,20140814204212,
EURUSD,1.33774,1.33782,20140814204212,
GBPUSD,1.66816,1.66841,20140814204212,
AUDUSD,0.9316,0.93178,20140814204212,
NZDUSD,0.8497,0.85,20140814204212,
HKDJPY,13.197,13.227,20140814204212,
EURGBP,0.80183,0.80201,20140814204212,
EURAUD,1.43581,1.43604,20140814204212,
USDCHF,0.90595,0.90613,20140814204212,
EURCHF,1.21207,1.21225,20140814204212,
GBPCHF,1.5114,1.5117,20140814204212,
AUDCHF,0.84401,0.84431,20140814204212,
CADCHF,0.83135,0.83195,20140814204212,
USDHKD,7.75099,7.75129,20140814204212,
USDJPY,102.418,102.422,20140814204318,
EURJPY,137.019,137.029,20140814204318,
AUDJPY,95.424,95.433,20140814204318,
GBPJPY,170.856,170.874,20140814204318,
NZDJPY,87.049,87.067,20140814204318,
CADJPY,93.994,94.018,20140814204318,
CHFJPY,113.025,113.049,20140814204318,
ZARJPY,9.68,9.699,20140814204318,
CNHJPY,16.633,16.663,20140814204318,
EURUSD,1.33777,1.33785,20140814204318,
GBPUSD,1.66815,1.6684,20140814204318,
AUDUSD,0.93161,0.93179,20140814204318,
NZDUSD,0.84973,0.85003,20140814204318,
HKDJPY,13.198,13.228,20140814204318,
EURGBP,0.80184,0.80202,20140814204318,
EURAUD,1.43584,1.43607,20140814204318,
USDCHF,0.90599,0.90617,20140814204318,
EURCHF,1.21208,1.21226,20140814204318,
GBPCHF,1.5114,1.5117,20140814204318,
AUDCHF,0.84404,0.84434,20140814204318,
CADCHF,0.83134,0.83194,20140814204318,
USDHKD,7.75099,7.75129,20140814204318,
USDJPY,102.424,102.428,20140814204424,
EURJPY,137.034,137.044,20140814204424,
AUDJPY,95.424,95.433,20140814204424,
GBPJPY,170.855,170.873,20140814204424,
NZDJPY,87.055,87.073,20140814204424,
CADJPY,94.01,94.034,20140814204424,
CHFJPY,113.036,113.06,20140814204424,
ZARJPY,9.68,9.699,20140814204424,
CNHJPY,16.635,16.665,20140814204424,
EURUSD,1.33782,1.3379,20140814204424,
GBPUSD,1.66807,1.66832,20140814204424,
AUDUSD,0.93158,0.93176,20140814204424,
NZDUSD,0.84973,0.85003,20140814204424,
HKDJPY,13.199,13.229,20140814204424,
EURGBP,0.80192,0.8021,20140814204424,
EURAUD,1.43591,1.43614,20140814204424,
USDCHF,0.90595,0.90613,20140814204424,
EURCHF,1.2121,1.21228,20140814204424,
GBPCHF,1.51127,1.51157,20140814204424,
AUDCHF,0.84402,0.84432,20140814204424,
CADCHF,0.8314,0.832,20140814204424,
USDHKD,7.75099,7.75129,20140814204424,
USDJPY,102.422,102.426,20140814204529,
EURJPY,137.014,137.024,20140814204529,
AUDJPY,95.421,95.43,20140814204529,
GBPJPY,170.87,170.888,20140814204529,
NZDJPY,87.05,87.068,20140814204529,
CADJPY,94.005,94.029,20140814204529,
CHFJPY,113.028,113.052,20140814204529,
ZARJPY,9.683,9.702,20140814204529,
CNHJPY,16.634,16.664,20140814204529,
EURUSD,1.3377,1.33778,20140814204529,
GBPUSD,1.66818,1.66843,20140814204529,
AUDUSD,0.93153,0.93171,20140814204529,
NZDUSD,0.84969,0.84999,20140814204529,
HKDJPY,13.199,13.229,20140814204529,
EURGBP,0.80178,0.80196,20140814204529,
EURAUD,1.43587,1.4361,20140814204529,
USDCHF,0.90602,0.9062,20140814204529,
EURCHF,1.21208,1.21226,20140814204529,
GBPCHF,1.51154,1.51184,20140814204529,
AUDCHF,0.844,0.8443,20140814204529,
CADCHF,0.83142,0.83202,20140814204529,
USDHKD,7.75099,7.75129,20140814204529,
USDJPY,102.425,102.429,20140814204637,
EURJPY,137.014,137.024,20140814204637,
AUDJPY,95.417,95.426,20140814204637,
GBPJPY,170.877,170.895,20140814204637,
NZDJPY,87.052,87.07,20140814204637,
CADJPY,94.013,94.037,20140814204637,
CHFJPY,113.027,113.051,20140814204637,
ZARJPY,9.681,9.7,20140814204637,
CNHJPY,16.634,16.664,20140814204637,
EURUSD,1.33776,1.33784,20140814204637,
GBPUSD,1.66824,1.66849,20140814204637,
AUDUSD,0.93149,0.93167,20140814204637,
NZDUSD,0.84969,0.84999,20140814204637,
HKDJPY,13.199,13.229,20140814204637,
EURGBP,0.80175,0.80193,20140814204637,
EURAUD,1.43594,1.43617,20140814204637,
USDCHF,0.90603,0.90621,20140814204637,
EURCHF,1.21209,1.21227,20140814204637,
GBPCHF,1.5116,1.5119,20140814204637,
AUDCHF,0.84399,0.84429,20140814204637,
CADCHF,0.83148,0.83208,20140814204637,
USDHKD,7.75099,7.75129,20140814204637,
USDJPY,102.423,102.427,20140814204743,
EURJPY,137.017,137.027,20140814204743,
AUDJPY,95.416,95.425,20140814204743,
GBPJPY,170.87,170.888,20140814204743,
NZDJPY,87.053,87.071,20140814204743,
CADJPY,94.002,94.026,20140814204743,
CHFJPY,113.029,113.053,20140814204743,
ZARJPY,9.68,9.699,20140814204743,
CNHJPY,16.634,16.664,20140814204743,
EURUSD,1.3377,1.33778,20140814204743,
GBPUSD,1.66817,1.66842,20140814204743,
AUDUSD,0.93148,0.93166,20140814204743,
NZDUSD,0.84967,0.84997,20140814204743,
HKDJPY,13.199,13.229,20140814204743,
EURGBP,0.80179,0.80197,20140814204743,
EURAUD,1.43592,1.43615,20140814204743,
USDCHF,0.90603,0.90621,20140814204743,
EURCHF,1.21209,1.21227,20140814204743,
GBPCHF,1.5115,1.5118,20140814204743,
AUDCHF,0.84399,0.84429,20140814204743,
CADCHF,0.83138,0.83198,20140814204743,
